,Anime Title,Type,Score_reference2,Episodes,Aired,Producers,Studios,Source,Genres,Score,Members,Favorites,Fav%,Source_reference,genre_reference_1,genre_reference_2,Season
9346,Next Senki Ehrgeiz,TV,Bad,12,"Oct 2, 1997 to Dec 25, 1997","Bandai Visual, BeSTACK, d-rights",Studio Deen,Original,"Action, Sci-Fi, Space, Mecha",5.55,1016,0,0.0,5,1,10,4
9357,Pikotarou no Lullaby Lullaby (TV),TV,Bad,9,"Aug 2, 2017 to Sep 27, 2017","TV Tokyo Music, Avex Pictures",DLE,Original,"Comedy, Parody",5.54,4274,9,0.211,5,4,12,3
9359,Rinshi!! Ekoda-chan,TV,Bad,11,"Jan 9, 2019 to Mar 27, 2019","Sotsu, AT-X, Tokyo MX, Exit Tunes, Radio Osaka, Rakuten, Cloud22","Ascension,       Creators in Pack,       Zero-G",4-koma manga,"Slice of Life, Comedy, Seinen",5.54,8637,13,0.151,0,18,4,1
9369,25-sai no Joshikousei,TV,Bad,12,"Jan 8, 2018 to Mar 26, 2018","Cosmic Ray, Picante Circus, Suiseisha, Tavac",Lilix,Web manga,"Ecchi, Romance, School",5.54,27531,138,0.501,0,35,20,1
9372,Bloodivores,TV,Bad,12,"Oct 1, 2016 to Dec 17, 2016","Emon, Cloud22","Creators in Pack,       Namu Animation",Web manga,"Action, Supernatural, Vampire",5.54,80462,86,0.107,0,1,19,4
9386,Mayoiga,TV,Bad,12,"Apr 1, 2016 to Jun 17, 2016","WOWOW, Mainichi Broadcasting System, Pony Canyon, KlockWorx, Studio Mausu, Azumaker, Shogakukan",Diomedea,Original,"Mystery, Comedy, Horror, Psychological, Drama",5.54,184265,275,0.149,5,15,4,2
9396,Lance N' Masques,TV,Bad,12,"Oct 2, 2015 to Dec 18, 2015","Pony Canyon, TBS, DAX Production, KlockWorx, Docomo Anime Store, NichiNare",Studio Gokumi,Light novel,Fantasy,5.53,44046,26,0.059,1,7,0,4
9409,Onara Gorou,TV,Bad,13,"Jul 3, 2016 to Sep 24, 2016",,ILCA,Original,Comedy,5.52,10363,40,0.386,5,4,0,3
9424,Cream Lemon: Lemon Angel,TV,Bad,37,"Oct 1, 1987 to Dec 24, 1987",AIC,,Other,Ecchi,5.52,2560,4,0.156,3,35,0,4
9432,Naikaku Kenryoku Hanzai Kyousei Torishimarikan Zaizen Joutarou,TV,Bad,11,"Jul 6, 2006 to Sep 21, 2006","TV Asahi, Universal Pictures Japan",Trans Arts,Manga,"Action, Police, Drama, Seinen",5.52,1110,2,0.18,0,1,30,3
9439,Double-J,TV,Bad,11,"Jun 29, 2011 to Sep 14, 2011",,DLE,Manga,"Comedy, School, Shounen",5.51,10597,7,0.066,0,4,24,2
9448,Mini Moni the TV,TV,Bad,15,"Sep 8, 2003 to Sep 26, 2003",,,Unknown,Comedy,5.51,468,2,0.427,3,4,0,3
9463,Bermuda Triangle: Colorful Pastrale,TV,Bad,12,"Jan 12, 2019 to Mar 30, 2019",Bushiroad,Seven Arcs Pictures,Original,"Music, Fantasy",5.5,6494,15,0.231,5,28,7,1
9480,Aguu: Tensai Ningyou,TV,Bad,12,"Jul 10, 2018 to Sep 25, 2018",Tencent Animation & Comics,Studio Deen,Web manga,"Action, Drama, Supernatural",5.49,5846,8,0.137,0,1,5,3
9489,Duel Masters VSRF,TV,Bad,51,"Apr 3, 2016 to Mar 26, 2017","TV Tokyo, Shogakukan-Shueisha Productions",Studio Hibari,Original,"Action, Adventure, Comedy, Shounen",5.49,1040,4,0.385,5,1,3,2
9491,Francesca,TV,Bad,24,"Jul 7, 2014 to Dec 15, 2014","Pony Canyon, Bandai Namco Games, Daiichikosho, HeART-BIT, Hokkaido Azmacy, Hokkaido Cultural Broadcasting, Teichiku Entertainment, Amuse",Telecom Animation Film,Original,"Fantasy, Comedy",5.5,8525,6,0.07,5,7,4,3
9510,Shoumetsu Toshi,TV,Bad,12,"Apr 7, 2019 to Jun 23, 2019","Sotsu, Pony Canyon, KlockWorx, Tokyo MX, GREE, Akatsuki",Madhouse,Game,"Action, Adventure, Mystery, Drama, Fantasy",5.48,51129,50,0.098,2,1,3,2
9511,Sparrow's Hotel,TV,Bad,12,"Apr 9, 2013 to Jun 25, 2013","DAX Production, Dream Creation",Hotline,4-koma manga,Comedy,5.48,8828,9,0.102,0,4,0,2
9525,Funny Pets 2nd Season,TV,Bad,12,"Oct 9, 2006 to Dec 25, 2006",,,Unknown,Comedy,5.52,292,0,0.0,3,4,0,4
9544,Basilisk: Ouka Ninpouchou,TV,Bad,24,"Jan 9, 2018 to Jun 19, 2018","Kodansha, Glovision, King Records, Universal Entertainment",Seven Arcs Pictures,Manga,"Action, Drama, Historical, Martial Arts",5.47,28210,31,0.11,0,1,5,1
9547,Ikeike! Momon-chan,TV,Bad,15,"Nov 28, 2012 to Mar 28, 2013",,,Original,Comedy,5.47,684,0,0.0,5,4,0,4
9549,Kara The Animation,TV,Bad,5,"Mar 1, 2013",NOTTV,,Unknown,Action,5.48,931,3,0.322,3,1,0,1
9562,Virtual-san wa Miteiru,TV,Bad,12,"Jan 10, 2019 to Mar 27, 2019",Dwango,Lide,Original,"Comedy, Music",5.47,6269,17,0.271,5,4,28,1
9563,Virus: Virus Buster Serge,TV,Bad,12,"Oct 3, 1997 to Dec 19, 1997",Plum,J.C.Staff,Game,"Action, Adventure, Mecha, Police, Sci-Fi",5.47,3439,4,0.116,2,1,3,4
9565,Ozmafia!!,TV,Bad,12,"Jul 7, 2016 to Sep 22, 2016","Hobi Animation, project lights, Cloud22",Creators in Pack,Visual novel,"Harem, Historical, Romance, Fantasy, Shoujo",5.46,16992,21,0.124,1,39,11,3
9577,Cheating Craft,TV,Bad,12,"Oct 5, 2016 to Dec 21, 2016","Haoliners Animation League, Emon",Blade,Novel,"Action, Comedy, School",5.46,52116,39,0.075,0,1,4,4
